Run,J1,J2,h,R1,R2
0,1,0,-1,1,15

entropy:,0.0, ,lambda:,1.0
 ,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
rho_l:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_l:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I_l:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Run,J1,J2,h,R1,R2
1,1,0,-1,3,15

entropy:,0.0, ,lambda:,1.0
 ,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
rho_l:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_l:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I_l:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Run,J1,J2,h,R1,R2
2,1,0,-2,6,15

entropy:,0.29615854716712203, ,lambda:,4.25
 ,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
rho_l:,0.40555555555555556,0.37222222222222223,0.3388888888888889,0.3055555555555555,0.2722222222222222,0.23888888888888893,0.20555555555555555,0.1746031746031746,0.14722222222222223,0.12222222222222223,0.0988888888888889,0.07676767676767676,0.055555555555555546,0.03504273504273505,0.016269841269841274
H_l:,0.0,0.35565970130482744,0.39129498579713407,0.41739762622839616,0.4369647964591039,0.4513754971948381,0.4613938972186865,0.46741892751134606,0.47054539594393213,0.47165149245411214,0.4711659595538901,0.4693179777728166,0.4662370260108888,0.4619973899459144,0.4569889359366671
I_l:,0.5923170943342441,0.23665739302941663,0.20102210853710997,0.17491946810584788,0.15535229787514016,0.14094159713940596,0.13092319711555755,0.124898166822898,0.12177169839031193,0.12066560188013192,0.12115113478035394,0.12299911656142748,0.12608006832335528,0.13031970438832968,0.13532815839757695


